id,start,end,length,remove,change,new name,new start,new end,Explanation
183_Jurss_Kavanaugh_MitchellvWisconsin.mp3,2643.56,2647.6,4.04,1,,,,,first speaker inaudible
184_Kavanaugh_Jurss_MitchellvWisconsin.mp3,2649.04,2652.32,3.28,,,,,,
185_Jurss_Kavanaugh_MitchellvWisconsin.mp3,2651.04,2656.12,5.08,,,,,,
186_Kavanaugh_Jurss_MitchellvWisconsin.mp3,2654.12,2656.28,2.16,,,,,,
187_Jurss_Kavanaugh_MitchellvWisconsin.mp3,2656.12,2660.28,4.16,,,,,,
188_Kavanaugh_Jurss_MitchellvWisconsin.mp3,2660.36,2666.36,6,,,,,,
189_Jurss_Kavanaugh_MitchellvWisconsin.mp3,2688.36,2693.36,5,,,,,,
190_Kavanaugh_Jurss_MitchellvWisconsin.mp3,2691.36,2697.36,6,,,,,,
191_Jurss_Kavanaugh_MitchellvWisconsin.mp3,2756.84,2762.84,6,,,,,,
192_Kavanaugh_Jurss_MitchellvWisconsin.mp3,2762,2766.48,4.48,,,,,,
193_Jurss_Kavanaugh_MitchellvWisconsin.mp3,2764,2768.44,4.44,,,,,,
194_Kavanaugh_Jurss_MitchellvWisconsin.mp3,2766.48,2772.44,5.96,,,,,,
195_Jurss_Sotomayor_MitchellvWisconsin.mp3,2826.68,2832.68,6,,,,,,
196_Sotomayor_Jurss_MitchellvWisconsin.mp3,2835.32,2841.32,6,,,,,,
197_Jurss_Sotomayor_MitchellvWisconsin.mp3,2873.28,2879.28,6,,,,,,
198_Sotomayor_Jurss_MitchellvWisconsin.mp3,2883.08,2885.28,2.2,,,,,,
199_Jurss_Sotomayor_MitchellvWisconsin.mp3,2885.08,2889.28,4.2,,,,,,
200_Sotomayor_Jurss_MitchellvWisconsin.mp3,2902.8,2908.8,6,,,,,,
201_Jurss_Sotomayor_MitchellvWisconsin.mp3,2910.6,2916.6,6,,,,,,
202_Sotomayor_Jurss_MitchellvWisconsin.mp3,2915.48,2918.4,2.92,,,,,,
203_Jurss_Sotomayor_MitchellvWisconsin.mp3,2917.48,2922.4,4.92,,,,,,
204_Sotomayor_Jurss_MitchellvWisconsin.mp3,2940.56,2946.56,6,,,,,,
